51.52178N,0.3415348W,0.0,00:11.18
51.52178N,0.3415742W,25.76,00:11.20
51.52178N,0.3415742W,24.55,00:11.21
51.52178N,0.3415742W,24.55,00:11.22
51.52178N,0.3415742W,24.55,00:11.26
51.52178N,0.3415742W,24.55,00:11.27
51.52178N,0.3415742W,24.55,00:11.28
51.52178N,0.3415742W,24.55,00:11.31
51.52178N,0.3415742W,24.55,00:11.32
51.52178N,0.3415742W,24.55,00:11.33
51.52178N,0.3415742W,24.55,00:11.35
51.52177N,0.341582W,24.55,00:11.36
51.52177N,0.341593W,24.99,00:11.37
51.52176N,0.3416089W,25.03,00:11.38
51.52172N,0.3416805W,25.51,00:11.42
51.52171N,0.3416957W,26.95,00:11.43
51.52172N,0.3416115W,26.95,00:11.49
51.52174N,0.341547W,30.04,00:11.51
51.52175N,0.3415155W,31.39,00:11.53
51.52177N,0.341484W,32.48,00:11.56
51.52176N,0.3414797W,35.01,00:11.59
51.52177N,0.3414708W,37.84,00:12.01
51.51546N,0.3042738W,0.0,20:16.39
51.51561N,0.3045103W,54.21,20:17.29
51.51561N,0.3045058W,-17.11,20:17.30
51.51561N,0.3045023W,-16.09,20:17.31
51.51561N,0.3045012W,-15.05,20:17.33
51.51561N,0.304488W,-12.74,20:17.34
51.51561N,0.3044798W,-11.85,20:17.35
51.5156N,0.3044722W,-10.74,20:17.40
51.5156N,0.3044723W,-4.37,20:17.42
51.5156N,0.3044698W,-1.83,20:17.43
51.51559N,0.3044698W,-0.66,20:17.45
51.51561N,0.3044562W,1.8,20:17.46
51.51566N,0.3044185W,2.75,20:17.47
51.51569N,0.3043807W,3.75,20:17.48
51.5157N,0.3043293W,4.81,20:17.50
51.5157N,0.3043112W,5.57,20:17.51
51.51569N,0.3042932W,5.32,20:17.52
51.51569N,0.304289W,4.9,20:17.53
51.51569N,0.3042718W,5.01,20:17.56
51.51569N,0.3042378W,6.69,20:17.59
51.5157N,0.3042375W,6.98,20:18.00
51.5157N,0.3042365W,6.34,20:18.03
51.5157N,0.3042422W,6.46,20:18.04
51.51571N,0.3042365W,5.88,20:18.07
51.51571N,0.3042255W,6.31,20:18.10
51.51569N,0.3042344W,6.29,20:18.13
51.51569N,0.304234W,5.25,20:18.14
51.51569N,0.304233W,5.35,20:18.15
51.51569N,0.3042332W,5.54,20:18.18
51.51568N,0.3042325W,6.12,20:18.19
51.51566N,0.3042113W,6.83,20:18.22
51.51563N,0.304153W,7.24,20:18.25
51.51561N,0.3041278W,8.54,20:18.28
51.5156N,0.3041282W,10.11,20:18.29
51.51559N,0.3041457W,10.76,20:18.32
51.51556N,0.3041353W,14.08,20:18.36
51.51557N,0.304134W,17.77,20:18.39
51.51557N,0.3041322W,19.52,20:18.42
51.51556N,0.3041424W,21.32,20:18.45
51.51556N,0.3041617W,22.76,20:18.49
51.51556N,0.3041713W,23.78,20:18.52
51.51557N,0.3041743W,24.7,20:18.55
51.51557N,0.3041735W,26.47,20:18.56
51.51556N,0.3041802W,26.85,20:18.59
51.51556N,0.3041782W,26.75,20:19.00
51.51556N,0.3041728W,26.9,20:19.03
51.51557N,0.3041512W,27.43,20:19.04
51.51558N,0.3040882W,27.8,20:19.07
51.51558N,0.304087W,30.06,20:19.09
51.5156N,0.3040795W,29.9,20:19.13
51.51563N,0.3040877W,31.13,20:19.17
51.51563N,0.3040895W,34.02,20:19.18
51.51563N,0.3040898W,34.36,20:19.19
51.51563N,0.30409W,34.77,20:19.20
51.51563N,0.3040918W,35.12,20:19.21
51.51563N,0.3040932W,35.28,20:19.22
51.51563N,0.304095W,35.59,20:19.23
51.51563N,0.3040955W,35.69,20:19.24
51.51563N,0.3040952W,35.61,20:19.25
51.51563N,0.304095W,35.5,20:19.26
51.51563N,0.3040955W,35.55,20:19.27
51.51563N,0.3040957W,35.39,20:19.28
51.51563N,0.3040957W,35.13,20:19.29
51.51563N,0.3040962W,34.95,20:19.30
51.51563N,0.3040963W,34.84,20:19.31
51.51562N,0.3040958W,34.68,20:19.32
51.51562N,0.3040953W,34.62,20:19.33
51.51562N,0.3040947W,34.62,20:19.34
51.51562N,0.3040965W,34.84,20:19.35
51.51562N,0.3040921W,34.83,20:19.36
51.51562N,0.3040908W,34.65,20:19.37
51.51561N,0.3040952W,34.75,20:19.39
51.51561N,0.3041332W,34.96,20:19.40
51.51561N,0.3041465W,34.74,20:19.41
51.51561N,0.3041575W,34.44,20:19.42
51.51561N,0.3041582W,34.39,20:19.43
51.51561N,0.3041602W,34.48,20:19.44
51.51561N,0.3041628W,34.49,20:19.45
51.51561N,0.3041675W,34.38,20:19.46
51.51561N,0.3041712W,34.33,20:19.47
51.51561N,0.3041745W,34.41,20:19.48
51.5156N,0.3041768W,34.52,20:19.49
51.5156N,0.3041829W,34.59,20:19.50
51.5156N,0.3041908W,34.68,20:19.51
51.5156N,0.3041947W,34.96,20:19.52
51.5156N,0.3042063W,35.16,20:19.53
51.5156N,0.30421W,35.42,20:19.54
51.5156N,0.3042121W,35.53,20:19.55
51.51559N,0.3042147W,35.62,20:19.56
51.51559N,0.3042167W,35.7,20:19.57
